txId,timestep,label,xgboost_probability,graphsage_probability,risk_score,risk_level,alert_priority,agreement_category,model_agreement,model_disagreement,evidence_type,fraud_alert
71987809,42,1,0.9999651,0.99982387,0.9999509770000001,HIGH,CRITICAL,BOTH_HIGH,0.9998587699999999,0.00014123000000010322,STRONG_CORROBORATION,True
71989683,42,1,0.9999627,0.9998254,0.9999489699999999,HIGH,CRITICAL,BOTH_HIGH,0.9998627,0.00013730000000000686,STRONG_CORROBORATION,True
71988707,42,1,0.9999583,0.9998234,0.9999448099999999,HIGH,CRITICAL,BOTH_HIGH,0.9998651000000001,0.00013489999999993785,STRONG_CORROBORATION,True
71989346,42,1,0.99995613,0.99983954,0.9999444710000001,HIGH,CRITICAL,BOTH_HIGH,0.9998834099999999,0.00011659000000008302,STRONG_CORROBORATION,True
71988756,42,1,0.9999167,0.99983776,0.999908806,HIGH,CRITICAL,BOTH_HIGH,0.99992106,7.893999999997181e-05,STRONG_CORROBORATION,True
71989985,42,1,0.9999099,0.99985194,0.9999041040000001,HIGH,CRITICAL,BOTH_HIGH,0.99994204,5.796000000002355e-05,STRONG_CORROBORATION,True
71994055,42,1,0.9998828,0.99984586,0.9998791060000001,HIGH,CRITICAL,BOTH_HIGH,0.99996306,3.693999999998532e-05,STRONG_CORROBORATION,True
71989681,42,1,0.99984884,0.999843,0.999848256,HIGH,CRITICAL,BOTH_HIGH,0.9999941600000001,5.839999999923684e-06,STRONG_CORROBORATION,True
71987987,42,1,0.9998317,0.9998431,0.99983284,HIGH,CRITICAL,BOTH_HIGH,0.9999886,1.1399999999994748e-05,STRONG_CORROBORATION,True
71988426,42,1,0.9999515,0.9983115,0.9997874999999999,HIGH,CRITICAL,BOTH_HIGH,0.99836,0.0016399999999999748,STRONG_CORROBORATION,True
71988771,42,1,0.9998795,0.99827766,0.9997193160000001,HIGH,CRITICAL,BOTH_HIGH,0.9983981599999999,0.0016018400000000765,STRONG_CORROBORATION,True
71990565,42,1,0.99981695,0.998789,0.999714155,HIGH,CRITICAL,BOTH_HIGH,0.99897205,0.0010279499999999997,STRONG_CORROBORATION,True
71989670,42,1,0.99992216,0.9976465,0.999694594,HIGH,CRITICAL,BOTH_HIGH,0.99772434,0.0022756600000000127,STRONG_CORROBORATION,True
71988749,42,1,0.99964774,0.9998198,0.999664946,HIGH,CRITICAL,BOTH_HIGH,0.99982794,0.0001720600000000294,STRONG_CORROBORATION,True
71988781,42,1,0.9998165,0.99821943,0.999656793,HIGH,CRITICAL,BOTH_HIGH,0.99840293,0.0015970699999999782,STRONG_CORROBORATION,True
71989674,42,1,0.9998134,0.99820995,0.9996530549999999,HIGH,CRITICAL,BOTH_HIGH,0.99839655,0.0016034499999999507,STRONG_CORROBORATION,True
71988753,42,1,0.99981695,0.9980088,0.999636135,HIGH,CRITICAL,BOTH_HIGH,0.99819185,0.0018081500000000084,STRONG_CORROBORATION,True
71989973,42,1,0.9998394,0.997701,0.99962556,HIGH,CRITICAL,BOTH_HIGH,0.9978615999999999,0.0021384000000000958,STRONG_CORROBORATION,True
71988433,42,1,0.9998859,0.997248,0.99962211,HIGH,CRITICAL,BOTH_HIGH,0.9973621,0.002637899999999971,STRONG_CORROBORATION,True
71987983,42,1,0.9998684,0.99720407,0.999601967,HIGH,CRITICAL,BOTH_HIGH,0.99733567,0.0026643299999999925,STRONG_CORROBORATION,True
71990001,42,1,0.99975115,0.9981185,0.9995878850000001,HIGH,CRITICAL,BOTH_HIGH,0.99836735,0.0016326500000000133,STRONG_CORROBORATION,True
71990615,42,1,0.9997981,0.99759066,0.9995773560000001,HIGH,CRITICAL,BOTH_HIGH,0.9977925599999999,0.0022074400000000605,STRONG_CORROBORATION,True
71994046,42,1,0.99953854,0.99986184,0.99957087,HIGH,CRITICAL,BOTH_HIGH,0.9996767,0.00032330000000002634,STRONG_CORROBORATION,True
71988421,42,1,0.9998932,0.9966575,0.9995696300000001,HIGH,CRITICAL,BOTH_HIGH,0.9967642999999999,0.0032357000000000635,STRONG_CORROBORATION,True
71989168,42,1,0.99974555,0.9978732,0.999558315,HIGH,CRITICAL,BOTH_HIGH,0.99812765,0.001872349999999967,STRONG_CORROBORATION,True
71988430,42,1,0.9996964,0.99819946,0.9995467060000001,HIGH,CRITICAL,BOTH_HIGH,0.99850306,0.0014969400000000022,STRONG_CORROBORATION,True
71990384,42,1,0.9997509,0.99767023,0.999542833,HIGH,CRITICAL,BOTH_HIGH,0.99791933,0.0020806700000000067,STRONG_CORROBORATION,True
71990813,42,1,0.9997013,0.9977133,0.9995025000000001,HIGH,CRITICAL,BOTH_HIGH,0.998012,0.0019879999999999898,STRONG_CORROBORATION,True
71989678,42,1,0.9996722,0.99790025,0.999495005,HIGH,CRITICAL,BOTH_HIGH,0.99822805,0.0017719499999999666,STRONG_CORROBORATION,True
