txId,feature_rank,feature,feature_value,shap_value,direction
2256959,1,feature_52,-0.488345208417628,1.171127200126648,INCREASES_FRAUD_RISK
2256959,2,feature_162,-0.1405970785066562,0.7840295433998108,INCREASES_FRAUD_RISK
2256959,3,feature_2,1.018601901343969,0.5194666385650635,INCREASES_FRAUD_RISK
2256959,4,feature_58,-0.1728943931291784,0.2348354309797287,INCREASES_FRAUD_RISK
2256959,5,feature_22,-0.1489119237962705,0.22079892456531525,INCREASES_FRAUD_RISK
2376671,1,feature_89,-0.6942351992761703,1.722830057144165,INCREASES_FRAUD_RISK
2376671,2,feature_52,-0.4883214611652894,1.5944833755493164,INCREASES_FRAUD_RISK
2376671,3,feature_131,-0.1887158089232799,0.8934088349342346,INCREASES_FRAUD_RISK
2376671,4,feature_75,-0.0949545597645546,0.8419681191444397,INCREASES_FRAUD_RISK
2376671,5,feature_54,-0.4675325287240186,0.48928800225257874,INCREASES_FRAUD_RISK
39146480,1,feature_52,-0.4825966893518156,1.0425536632537842,INCREASES_FRAUD_RISK
39146480,2,feature_89,-0.6942351992761703,1.0120738744735718,INCREASES_FRAUD_RISK
39146480,3,feature_131,-0.1887158089232799,0.5175925493240356,INCREASES_FRAUD_RISK
39146480,4,feature_2,1.5735945770991024,0.3757299780845642,INCREASES_FRAUD_RISK
39146480,5,feature_160,-0.106714613806669,0.343057245016098,INCREASES_FRAUD_RISK
40441436,1,feature_89,-0.6942351992761703,1.59724760055542,INCREASES_FRAUD_RISK
40441436,2,feature_52,-0.4883214611652894,1.5775188207626343,INCREASES_FRAUD_RISK
40441436,3,feature_131,-0.1887158089232799,0.6943520307540894,INCREASES_FRAUD_RISK
40441436,4,feature_75,-0.0951039362673167,0.6390687227249146,INCREASES_FRAUD_RISK
40441436,5,feature_126,-0.1071278044464237,0.592129111289978,INCREASES_FRAUD_RISK
40441445,1,feature_52,-0.4883214611652894,1.41316556930542,INCREASES_FRAUD_RISK
40441445,2,feature_162,-0.1405970785066562,0.8527076244354248,INCREASES_FRAUD_RISK
40441445,3,feature_2,1.018601901343969,0.5963293313980103,INCREASES_FRAUD_RISK
40441445,4,feature_54,-0.4675325287240186,0.4298146963119507,INCREASES_FRAUD_RISK
40441445,5,feature_79,-1.4717644946197317,0.42229703068733215,INCREASES_FRAUD_RISK
41261572,1,feature_52,-0.4883214611652894,1.9254189729690552,INCREASES_FRAUD_RISK
41261572,2,feature_89,-0.6942351992761703,1.4185001850128174,INCREASES_FRAUD_RISK
